T,X,V,A,P1,P2,DP1,DP2,U
5.800000067779365e-02,	5.000000000000000e+00,	7.639885063670022e-01,	-8.111569704595608e+00,	7.729785918861812e+05,	1.767022741517212e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
5.900000068947975e-02,	5.000000000000000e+00,	7.566186253832434e-01,	-6.618899173776851e+00,	7.731924050271284e+05,	1.766866211179921e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.000000070116585e-02,	5.000000000000000e+00,	7.507667969288966e-01,	-5.077971865883100e+00,	7.734157770241459e+05,	1.766702682934260e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.100000071285194e-02,	5.000000000000000e+00,	7.464737115429437e-01,	-3.503960011400877e+00,	7.736464830099317e+05,	1.766533785575285e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.200000072453804e-02,	5.000000000000000e+00,	7.437647929499523e-01,	-1.912200328806518e+00,	7.738822503274692e+05,	1.766361182884252e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.300000073622414e-02,	5.000000000000000e+00,	7.426501075558616e-01,	-3.180461588372989e-01,	7.741207806743440e+05,	1.766186557417064e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.400000074791024e-02,	5.000000000000000e+00,	7.431244212697993e-01,	1.263279088503464e+00,	7.743597722712491e+05,	1.766011594275010e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.500000075959633e-02,	5.000000000000000e+00,	7.451674016443038e-01,	2.816825789947976e+00,	7.745969418430704e+05,	1.765837965012710e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.600000077128243e-02,	5.000000000000000e+00,	7.487439619607493e-01,	4.328057923200862e+00,	7.748300462048383e+05,	1.765667311835336e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.700000078296853e-02,	5.000000000000000e+00,	7.538047425669532e-01,	5.782987546555753e+00,	7.750569032506621e+05,	1.765501232232898e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.800000079465462e-02,	5.000000000000000e+00,	7.602867235120075e-01,	7.168302714763271e+00,	7.752754121514678e+05,	1.765341264193755e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
6.900000080634072e-02,	5.000000000000000e+00,	7.681139613307520e-01,	8.471487676834013e+00,	7.754835725768346e+05,	1.765188872132570e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.000000081802682e-02,	5.000000000000000e+00,	7.771984417176824e-01,	9.680934286534066e+00,	7.756795027673675e+05,	1.765045433659774e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.100000082971292e-02,	5.000000000000000e+00,	7.874410388073874e-01,	1.078604365075154e+01,	7.758614562967309e+05,	1.764912227310307e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.200000084139901e-02,	5.000000000000000e+00,	7.987325708544309e-01,	1.177731714369146e+01,	7.760278373765608e+05,	1.764790421339101e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.300000085308511e-02,	5.000000000000000e+00,	8.109549412881181e-01,	1.264643602492196e+01,	7.761772145728293e+05,	1.764681063679516e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.400000086477121e-02,	5.000000000000000e+00,	8.239823534131796e-01,	1.338632901553864e+01,	7.763083328186859e+05,	1.764585073148904e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.500000087645731e-02,	5.000000000000000e+00,	8.376825864419817e-01,	1.399122730794632e+01,	7.764201236261878e+05,	1.764503231972739e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.600000088814340e-02,	5.000000000000000e+00,	8.519183200815983e-01,	1.445670660979891e+01,	7.765117134174762e+05,	1.764436179685476e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.700000089982950e-02,	5.000000000000000e+00,	8.665484945632651e-01,	1.477971595022916e+01,	7.765824299146744e+05,	1.764384408452595e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.800000091151560e-02,	5.000000000000000e+00,	8.814296927942633e-01,	1.495859310542658e+01,	7.766318065468982e+05,	1.764348259844286e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
7.900000092320170e-02,	5.000000000000000e+00,	8.964175312338942e-01,	1.499306662961940e+01,	7.766595848520886e+05,	1.764327923077105e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.000000093488779e-02,	5.000000000000000e+00,	9.113680461453229e-01,	1.488424460536885e+01,	7.766657148707176e+05,	1.764323434725741e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.100000094657389e-02,	5.000000000000000e+00,	9.261390620519784e-01,	1.463459035257489e+01,	7.766503535475931e+05,	1.764334679893037e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.200000095825999e-02,	5.000000000000000e+00,	9.405915295279184e-01,	1.424788545755750e+01,	7.766138611768204e+05,	1.764361394812585e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.300000096994609e-02,	5.000000000000000e+00,	9.545908198720044e-01,	1.372918060087214e+01,	7.765567959432852e+05,	1.764403170844831e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.400000098163218e-02,	5.000000000000000e+00,	9.680079647507189e-01,	1.308473477409945e+01,	7.764799066316430e+05,	1.764459459814723e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.500000099331828e-02,	5.000000000000000e+00,	9.807208295376941e-01,	1.232194358067424e+01,	7.763841235905628e+05,	1.764529580626670e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.600000100500438e-02,	5.000000000000000e+00,	9.926152098223548e-01,	1.144925741298675e+01,	7.762705480557395e+05,	1.764612727081015e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.700000101669048e-02,	5.000000000000000e+00,	1.003585841397376e+00,	1.047609038663141e+01,	7.761404399498012e+05,	1.764707976805557e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.800000102837657e-02,	5.000000000000000e+00,	1.013537314956016e+00,	9.412720992038620e+00,	7.759952042905932e+05,	1.764814301205862e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
8.900000104006267e-02,	5.000000000000000e+00,	1.022384887726165e+00,	8.270185493146208e+00,	7.758363763512729e+05,	1.764930576329358e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.000010105174994e-02,	5.000000000000000e+00,	1.030055891338318e+00,	7.060041188278540e+00,	7.756655881093909e+05,	1.765055607427437e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.100010106343603e-02,	5.000000000000000e+00,	1.036487367735917e+00,	5.794739607498338e+00,	7.754846209188059e+05,	1.765188090395325e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.200010107512213e-02,	5.000000000000000e+00,	1.041631147222459e+00,	4.486777009236869e+00,	7.752952851564740e+05,	1.765326699880637e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.300010108680823e-02,	5.000000000000000e+00,	1.045450998236665e+00,	3.149048727897425e+00,	7.750994693215294e+05,	1.765470053338873e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.400010109849433e-02,	5.000000000000000e+00,	1.047923672808345e+00,	1.794605596349947e+00,	7.748991049078548e+05,	1.765616736749662e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.500010111018042e-02,	5.000000000000000e+00,	1.049038999035099e+00,	4.365279645975895e-01,	7.746961475603187e+05,	1.765765318412024e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.600010112186652e-02,	5.000000000000000e+00,	1.048799847964132e+00,	-9.121993095132055e-01,	7.744925581882346e+05,	1.765914362770951e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.700010113355262e-02,	5.000000000000000e+00,	1.047221976444581e+00,	-2.238809715300350e+00,	7.742902842165397e+05,	1.766062444143165e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.800010114523872e-02,	5.000000000000000e+00,	1.044333748682738e+00,	-3.530874640035135e+00,	7.740912411520889e+05,	1.766208160212179e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
9.900010115692481e-02,	5.000000000000000e+00,	1.040175740361904e+00,	-4.776418508522653e+00,	7.738972946376810e+05,	1.766350145166303e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.000001011686109e-01,	5.000000000000000e+00,	1.034800230269860e+00,	-5.964028457556475e+00,	7.737102431600782e+05,	1.766487082357870e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.010001011802970e-01,	5.000000000000000e+00,	1.028270585400352e+00,	-7.082957553924579e+00,	7.735318015703767e+05,	1.766617716367740e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.020001011919831e-01,	5.000000000000000e+00,	1.020660546451270e+00,	-8.123220636066030e+00,	7.733635855657780e+05,	1.766740864365994e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.030001012036692e-01,	5.000000000000000e+00,	1.012053421523036e+00,	-9.075681938961509e+00,	7.732070972711506e+05,	1.766855426667468e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.040001012153553e-01,	5.000000000000000e+00,	1.002541196618306e+00,	-9.932133748545599e+00,	7.730637120469161e+05,	1.766960396389526e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.050001012270414e-01,	5.000000000000000e+00,	9.922235722518201e-01,	-1.068536542495795e+01,	7.729346666368378e+05,	1.767054868128899e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.060001012387275e-01,	5.000000000000000e+00,	9.812069360910771e-01,	-1.132922223235293e+01,	7.728210487553863e+05,	1.767138045584633e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.070001012504136e-01,	5.000000000000000e+00,	9.696032820597644e-01,	-1.185865351577234e+01,	7.727237881996394e+05,	1.767209248064949e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.080001012620997e-01,	5.000000000000000e+00,	9.575290867424986e-01,	-1.226974987172814e+01,	7.726436495552915e+05,	1.767267915827071e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.090001012737858e-01,	5.000000000000000e+00,	9.451041542287324e-01,	-1.255976906759942e+01,	7.725812265504558e+05,	1.767313614210732e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.100001012854719e-01,	5.000000000000000e+00,	9.324504407237674e-01,	-1.272715057465849e+01,	7.725369380947003e+05,	1.767346036537940e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.110001012971580e-01,	5.000000000000000e+00,	9.196908703350216e-01,	-1.277151868945089e+01,	7.725110260243147e+05,	1.767365005763642e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.120001013088441e-01,	5.000000000000000e+00,	9.069481534123344e-01,	-1.269367432731123e+01,	7.725035545583296e+05,	1.767370474873958e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.130001013205302e-01,	5.000000000000000e+00,	8.943436186835195e-01,	-1.249557567896845e+01,	7.725144114534545e+05,	1.767362526040675e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.140001013322163e-01,	5.000000000000000e+00,	8.819960701830039e-01,	-1.218030802548084e+01,	7.725433108300169e+05,	1.767341368552408e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.150001013439024e-01,	5.000000000000000e+00,	8.700206796255670e-01,	-1.175204310717416e+01,	7.725897976253344e+05,	1.767307335554349e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.160001013555885e-01,	5.000000000000000e+00,	8.585279244332631e-01,	-1.121598853791710e+01,	7.726532536158656e+05,	1.767260879639536e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.170001013672746e-01,	5.000000000000000e+00,	8.476225810867536e-01,	-1.057832784609382e+01,	7.727329049351118e+05,	1.767202567345095e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.180001013789607e-01,	5.000000000000000e+00,	8.374027828485561e-01,	-9.846151807218320e+00,	7.728278310007070e+05,	1.767133072616840e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.190001013906468e-01,	5.000000000000000e+00,	8.279591502019441e-01,	-9.027381809552057e+00,	7.729369747515613e+05,	1.767053169314803e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.200001014023329e-01,	5.000000000000000e+00,	8.193740015728851e-01,	-8.130686062669042e+00,	7.730591540844130e+05,	1.766963722840685e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.210001014140190e-01,	5.000000000000000e+00,	8.117206510616721e-01,	-7.165389519095811e+00,	7.731930743688160e+05,	1.766865680975808e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.220001014257051e-01,	5.000000000000000e+00,	8.050627990143443e-01,	-6.141378430437628e+00,	7.733373419105046e+05,	1.766760064024765e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.230001014373912e-01,	5.000000000000000e+00,	7.994540203208260e-01,	-5.069000501394137e+00,	7.734904782253349e+05,	1.766647954365667e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.240001014490772e-01,	5.000000000000000e+00,	7.949373543462815e-01,	-3.958961637451791e+00,	7.736509349796388e+05,	1.766530485512509e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.250001014607633e-01,	5.000000000000000e+00,	7.915449993943026e-01,	-2.822220304613754e+00,	7.738171094479130e+05,	1.766408830798809e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.260001014724494e-01,	5.000000000000000e+00,	7.892981135750367e-01,	-1.669880532161162e+00,	7.739873603353109e+05,	1.766284191794175e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.270001014841355e-01,	5.000000000000000e+00,	7.882067229181837e-01,	-5.130845921202416e-01,	7.741600238104479e+05,	1.766157786566909e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
1.280001014958216e-01,	5.000000000000000e+00,	7.882697365399273e-01,	6.370936180911587e-01,	7.743334295935618e+05,	1.766030837906080e+06,	0.000000000000000e+00,	0.000000000000000e+00,	1.000000000000000e+00
