T,X,V,A,U
1.700001637290672e-01,	2.034118716556138e+00,	8.466459506184988e-01,	3.680293232559052e+00,	9.323107330611291e-01
1.710001658118077e-01,	2.034967174079881e+00,	8.502356959729411e-01,	3.500386551357224e+00,	9.362623521918361e-01
1.720001677945482e-01,	2.035819132512575e+00,	8.536491139865898e-01,	3.327609283216589e+00,	9.400198423657177e-01
1.730001698772888e-01,	2.036674419232075e+00,	8.568932423144330e-01,	3.161776088978513e+00,	9.435909536108654e-01
1.740001718600293e-01,	2.037532868217384e+00,	8.599749308163476e-01,	3.002699511518585e+00,	9.469832290052131e-01
1.750001739427698e-01,	2.038394320547290e+00,	8.629008423480024e-01,	2.850190587232646e+00,	9.502040055600346e-01
1.760001759255104e-01,	2.039258623523927e+00,	8.656774491939916e-01,	2.704059649535338e+00,	9.532604103060706e-01
1.770001779082509e-01,	2.040125631086367e+00,	8.683110347014665e-01,	2.564116833789740e+00,	9.561593621038609e-01
1.780001799909914e-01,	2.040995203361897e+00,	8.708076924692429e-01,	2.430172682055854e+00,	9.589075707627693e-01
1.790001819737320e-01,	2.041867206218119e+00,	8.731733263231216e-01,	2.302038683694263e+00,	9.615115370250469e-01
1.800001840564725e-01,	2.042741511676680e+00,	8.754136531675737e-01,	2.179527633437829e+00,	9.639775557155807e-01
1.810001860392130e-01,	2.043617997038042e+00,	8.775342026551236e-01,	2.062454140002956e+00,	9.663117153882910e-01
1.820001881219536e-01,	2.044496545386732e+00,	8.795403209287953e-01,	1.950634888547938e+00,	9.685199024554475e-01
1.830001901046941e-01,	2.045377044712864e+00,	8.814371712114196e-01,	1.843889055453474e+00,	9.706078018457627e-01
1.840001921874346e-01,	2.046259388430624e+00,	8.832297380032358e-01,	1.742038502598007e+00,	9.725809016337897e-01
1.850001941701752e-01,	2.047143474500014e+00,	8.849228284181497e-01,	1.644908110858523e+00,	9.744444945193167e-01
1.860001961529157e-01,	2.048029205862005e+00,	8.865210765533003e-01,	1.552325925011246e+00,	9.762036826451527e-01
1.870001982356562e-01,	2.048916490009272e+00,	8.880289461983606e-01,	1.464123371872120e+00,	9.778633805869827e-01
1.880002002183968e-01,	2.049805238547647e+00,	8.894507338887716e-01,	1.380135444727784e+00,	9.794283187214136e-01
1.890002023011373e-01,	2.050695367656000e+00,	8.907905735491387e-01,	1.300200778241560e+00,	9.809030483438950e-01
1.900002042838778e-01,	2.051586797203664e+00,	8.920524390855527e-01,	1.224161823491158e+00,	9.822919445286182e-01
1.910002063666184e-01,	2.052479451320346e+00,	8.932401492910035e-01,	1.151864874613238e+00,	9.835992115340570e-01
1.920002083493589e-01,	2.053373257514799e+00,	8.943573707453897e-01,	1.083160202309955e+00,	9.848288860008683e-01
1.930002104320994e-01,	2.054268147252459e+00,	8.954076227395442e-01,	1.017902044361108e+00,	9.859848423771527e-01
1.940002124148399e-01,	2.055164055080988e+00,	8.963942803957197e-01,	9.559486976650078e-01,	9.870707963583514e-01
1.950002143975805e-01,	2.056060919124213e+00,	8.973205794634789e-01,	8.971624931000406e-01,	9.880903101708579e-01
1.960002164803210e-01,	2.056958680677651e+00,	8.981896200354001e-01,	8.414098225839552e-01,	9.890467966664045e-01
1.970002184630615e-01,	2.057857283796835e+00,	8.990043703722812e-01,	7.885611505116685e-01,	9.899435235367146e-01
1.980002205458021e-01,	2.058756675800107e+00,	8.997676715461919e-01,	7.384909579632222e-01,	9.907836184279978e-01
